City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,selfoss,63.9331,-20.9971,14.73,76,86,2.4,IS,1721315061
248,kolonia,50.9333,6.95,29.69,44,0,2.06,DE,1721315063
249,qaqortoq,60.7167,-46.0333,7.54,78,44,2.59,GL,1721315065
250,qaisumah,28.3112,46.1273,44.98,6,0,5.14,SA,1721315066
251,salta,-24.7859,-65.4117,12.33,47,0,1.54,AR,1721314558
252,hithadhoo,-0.6,73.0833,29.08,70,64,1.86,MV,1721314885
253,bol'shoye boldino,55.0059,45.3142,26.2,45,61,3.64,RU,1721315069
254,richards bay,-28.783,32.0377,24.77,38,0,2.55,ZA,1721314700
255,andilamena,-17.0167,48.5833,14.87,89,11,2.39,MG,1721315071
256,bowen,-20.0167,148.2333,11.37,49,100,4.01,AU,1721315073
257,igrim,63.1906,64.4162,21.43,71,58,1.4,RU,1721315074
258,al qaryatayn,34.2296,37.2407,31.68,30,0,9.44,SY,1721315075
259,vila do maio,15.1333,-23.2167,29.44,77,48,4.1,CV,1721315076
260,shirgaon,19.7,72.7,27.46,89,100,9.4,IN,1721315077
261,lensk,60.7253,114.9278,16.7,93,40,1.95,RU,1721315079
262,cockburn town,21.4612,-71.1419,28.43,85,55,8.22,TC,1721315029
263,kavaratti,10.5669,72.642,27.09,84,100,7.65,IN,1721315082
264,carnarvon,-24.8667,113.6333,17.86,66,100,9.24,AU,1721315083
265,chokwe,-24.5333,32.9833,26.88,29,0,2.67,MZ,1721315084
266,tazacorte,28.629,-17.9293,25.64,79,0,4.12,ES,1721315085
267,bubaque,11.2833,-15.8333,25.44,91,100,6.04,GW,1721315086
268,suva,-18.1416,178.4415,21.71,100,40,0.0,FJ,1721315087
269,gaiman,-43.2897,-65.4929,9.47,38,0,12.04,AR,1721315089
270,rio grande,-32.035,-52.0986,13.06,79,5,1.8,BR,1721315090
271,port elizabeth,-33.918,25.5701,18.94,66,0,6.69,ZA,1721315091
272,ashburton,-37.8626,145.0794,9.13,73,93,1.34,AU,1721315092
273,shantobe,52.4581,68.1839,17.61,82,24,3.11,KZ,1721315093
274,cidreira,-30.1811,-50.2056,16.62,70,1,1.46,BR,1721315095
275,illizi,26.4833,8.4667,42.89,8,0,7.2,DZ,1721314829
276,ad-damazin,11.7891,34.3592,28.57,64,100,6.06,SD,1721315098
277,albion park,-34.5667,150.7833,8.6,66,2,3.88,AU,1721314834
278,ilulissat,69.2167,-51.1,12.01,54,20,2.57,GL,1721315100
279,turpan,42.9333,89.1667,40.8,16,68,4.5,CN,1721315101
280,borogontsy,62.6683,131.1683,14.96,95,100,0.73,RU,1721315103
281,envira,-7.3,-70.2167,29.52,40,12,1.45,BR,1721315104
282,castillos,-34.1667,-53.8333,15.31,66,3,2.23,UY,1721315105
283,nagqu,31.5,92.0,7.5,95,100,1.69,CN,1721315106
284,es castell,39.8795,4.2854,31.38,45,0,3.6,ES,1721315107
285,yugorsk,61.3133,63.3319,23.02,58,97,0.47,RU,1721315109
286,bambanglipuro,-7.95,110.2833,24.23,85,13,3.76,ID,1721315110
287,akom ii,2.7833,10.5667,22.71,94,92,2.1,CM,1721315111
288,caracas,10.488,-66.8792,26.49,76,98,2.06,VE,1721314713
289,labrador city,52.9463,-66.9114,16.77,80,75,18.33,CA,1721315113
290,roberval,48.5168,-72.2324,20.35,73,75,5.14,CA,1721315114
291,zunyi,27.6867,106.9072,22.68,91,96,2.27,CN,1721315111
292,bathsheba,13.2167,-59.5167,30.34,84,40,4.12,BB,1721314870
293,hakui,36.8833,136.7833,26.81,77,100,1.82,JP,1721315118
294,pico truncado,-46.7949,-67.9573,2.18,54,99,11.42,AR,1721315119
295,sirte,31.2089,16.5887,30.45,55,0,5.94,LY,1721315120
296,mata-utu,-13.2816,-176.1745,27.31,71,100,8.96,WF,1721315122
297,pinheiro machado,-31.5783,-53.3811,13.92,81,1,2.35,BR,1721315121
298,slave lake,55.2834,-114.769,17.99,82,0,1.54,CA,1721315124
299,kikwit,-5.041,18.8162,38.17,11,20,0.18,CD,1721315125
300,kimbe,-5.5502,150.1429,25.02,83,99,3.18,PG,1721315129
301,la'ie,21.6477,-157.9253,23.98,85,3,1.79,US,1721315130
302,soldanesti,47.8153,28.7967,36.99,23,45,3.12,MD,1721315131
303,korla,41.7597,86.1469,35.2,20,100,5.35,CN,1721315132
304,yemetsk,63.4721,41.7941,23.0,62,97,1.49,RU,1721315133
305,vung tau,10.346,107.0843,26.29,85,100,5.74,VN,1721315134
306,luderitz,-26.6481,15.1594,16.42,64,0,4.49,NA,1721315135
307,rongelap,11.1635,166.8941,26.73,77,100,5.97,MH,1721315139
308,garango,11.8,-0.5506,32.11,50,78,4.59,BF,1721315142
309,howrah,22.5892,88.3103,30.0,89,20,1.54,IN,1721315144
310,utrik,11.2278,169.8474,26.5,82,100,3.92,MH,1721315145
311,ola,59.5833,151.2833,11.37,89,98,3.68,RU,1721315146
312,konarka,19.9,86.1167,28.22,83,9,6.04,IN,1721315147
313,la passe,45.5549,-0.8967,33.56,54,3,3.7,FR,1721315148
314,mahina,-17.5065,-149.489,24.87,78,75,3.09,PF,1721315149
315,alofi,-19.0595,-169.9187,20.94,94,100,0.51,NU,1721315150
316,concepcion,-36.827,-73.0498,8.89,87,75,3.09,CL,1721314899
317,valparaiso,-33.0393,-71.6273,15.13,71,75,3.6,CL,1721315153
318,gunjur,13.2019,-16.7339,26.04,89,75,3.09,GM,1721315154
319,kruisfontein,-34.0033,24.7314,17.71,53,100,3.57,ZA,1721315155
320,olmos,-5.9847,-79.7453,24.08,54,26,2.87,PE,1721315156
321,altamont,42.2068,-121.7372,15.91,51,0,0.0,US,1721315158
322,saranac lake,44.3295,-74.1313,21.6,64,75,2.57,US,1721315159
323,gbely,48.718,17.1163,30.95,42,14,5.35,SK,1721315160
324,anupgarh,29.1911,73.2086,42.19,23,81,6.16,IN,1721315161
325,inyati,-19.6756,28.8469,25.63,10,0,0.97,ZW,1721315162
326,salekhard,66.53,66.6019,20.05,73,93,6.73,RU,1721315164
327,tidjikja,18.5564,-11.4271,37.74,27,9,1.71,MR,1721314932
328,altay,47.8667,88.1167,21.24,48,93,3.74,CN,1721315111
329,lospalos,-8.5186,127.0025,17.49,74,81,2.7,TL,1721315168
330,port-vila,-17.7338,168.3219,26.78,83,75,2.57,VU,1721315169
331,khandyga,62.6667,135.6,14.06,95,86,1.24,RU,1721315170
332,kingston,17.997,-76.7936,30.65,70,40,12.35,JM,1721314973
333,auki,-8.7676,160.7034,24.91,89,100,0.94,SB,1721315172
334,pacific grove,36.6177,-121.9166,15.79,95,100,4.47,US,1721315173
335,xai-xai,-25.0519,33.6442,24.66,51,0,2.72,MZ,1721315175
336,brisas de zicatela,15.8369,-97.0419,29.29,70,0,0.0,MX,1721315176
337,alice springs,-23.7,133.8833,5.75,65,0,3.09,AU,1721314955
338,heniches'k,46.1759,34.8034,32.61,43,0,4.63,UA,1721315178
339,san miguel,13.4833,-88.1833,29.06,70,92,1.28,SV,1721314981
340,sumbawa besar,-8.5,117.4333,22.13,89,97,1.46,ID,1721315181
341,hidrolandia,-4.4081,-40.4378,34.33,31,67,3.11,BR,1721315184
342,antsiranana,-12.2787,49.2917,26.42,61,20,5.14,MG,1721315185
343,east london,-33.0153,27.9116,19.52,52,0,9.26,ZA,1721315187
344,port hueneme,34.1478,-119.1951,20.79,91,100,1.54,US,1721315188
345,codrington,-38.2667,141.9667,6.82,87,100,5.96,AU,1721315189
346,sao felix do xingu,-6.6447,-51.995,33.26,22,9,2.77,BR,1721315190
347,katsuura,35.1333,140.3,25.44,90,100,7.98,JP,1721315006
348,bardai,11.65,7.2333,31.86,47,43,2.69,NG,1721315192
349,fort bragg,35.139,-79.006,29.32,74,75,4.63,US,1721315194
350,port augusta,-32.5,137.7667,9.7,62,92,5.27,AU,1721315195
351,vorgashor,67.5833,63.95,19.17,58,16,5.26,RU,1721315196
352,babol,36.5513,52.679,30.04,58,93,2.46,IR,1721315197
353,caleta de carquin,-11.0925,-77.6267,18.5,71,39,3.51,PE,1721315198
354,hadibu,12.65,54.0333,26.51,77,98,8.32,YE,1721314930
355,bangassou,4.7413,22.8184,25.64,75,100,1.37,CF,1721315201
356,amos,48.5669,-78.1162,9.83,95,99,2.93,CA,1721314927
357,puerto colombia,10.9878,-74.9547,29.05,79,100,3.62,CO,1721315203
358,luanda,-8.8368,13.2343,23.72,66,23,7.69,AO,1721315046
359,ujae,8.9322,165.7642,27.03,73,100,5.97,MH,1721315205
360,quellon,-43.1167,-73.6167,6.77,68,54,6.99,CL,1721315206
361,aldinga beach,-35.2793,138.4604,11.52,75,99,9.5,AU,1721315208
362,carbonear,47.7332,-53.2148,26.19,91,22,2.58,CA,1721315209
